;Index;Title;Category;Channel
0;0;BBC Proms;Music;BBC RADIO THREE
1;1;Port;Music;BBC ALBA
2;2;Sit Down, Stand Up with Greg James;Entertainment;BBC RADIO ONE
3;3;Ceiliúradh na Féile Pádraig;Music;BBC TWO NORTHERN IRELAND DIGITAL
4;4;Songs of Praise;Music;BBC ONE
5;5;Radio 1's Out Out! Live;Music;BBC RADIO ONE
6;6;Big Night of Musicals by the National Lottery;Music;BBC ONE
7;7;Paul Weller Live at the Barbican;Music;BBC TWO
8;8;Reclaiming Amy;Documentary;BBC TWO
9;9;Julian Bream Masterclass;Music;BBC WEBONLY
10;10;Wayfaring Stranger with Phil Cunningham;Music;BBC TWO NORTHERN IRELAND DIGITAL
11;11;Arctic Monkeys Live at the BBC;Music;BBC TWO
12;12;Team GB Homecoming Concert by the National Lottery;Entertainment;BBC ONE
13;13;St George's Day at the BBC;Music;BBC FOUR
14;14;BBC Arts NI presents;Music;BBC TWO NORTHERN IRELAND DIGITAL
15;15;Freddie Mercury: The Final Act;Music;BBC TWO
16;16;Country Christmas;Music;BBC FOUR
17;17;Radio 1's Piano Sessions;Music;BBC RADIO ONE
18;18;Cuirm @ Celtic;Music;BBC ALBA
19;19;Idris Elba Meets Paul McCartney;Music;BBC ONE
20;20;Country Music Awards;Music;BBC FOUR
21;21;The Story Of...;Documentary;BBC FOUR
22;22;Idiot Prayer - Nick Cave Alone at Alexandra Palace;Music;BBC FOUR
23;23;A Night of Wonder;Music;BBC TWO
24;24;Peat & Diesel;Music;BBC ALBA
25;25;Barry White in Concert 1975;Music;BBC FOUR
26;26;The World’s Most Extreme Festivals;Entertainment;BBC RADIO ONE
27;27;Lionel Richie at the BBC;Music;BBC FOUR
28;28;Midnight Mass;Music;BBC ONE
29;29;Soul America;Documentary;BBC FOUR
30;30;Teddy Pendergrass: If You Don't Know Me;Documentary;BBC TWO
31;31;ALT;Music;BBC ALBA
32;32;Music Night at Brownlow;Music;BBC TWO NORTHERN IRELAND DIGITAL
33;33;Canadian Hits at the BBC;Music;BBC FOUR
34;34;Christmas Morning;Music;BBC ONE
35;35;Seirm;Music;BBC ALBA
36;36;INXS: Live Baby Live;Music;BBC TWO
37;37;On The Road with Independent Venue Week;Music;BBC 6MUSIC
38;38;Perfect Pianists at the BBC;Music;BBC FOUR
39;39;Astaire and Rogers Sing George and Ira Gershwin;Music;BBC FOUR
40;40;The Rap Game UK;Entertainment;BBC THREE
